feature,coefficient,abs_coef
self_pre_spike_max_health_loss,-0.015422178104633198,0.015422178104633198
self_post_spike_total_health_loss,-0.006792657929115765,0.006792657929115765
self_post_spike_max_health_loss,-0.006673934896869268,0.006673934896869268
self_pre_spike_avg_health,0.005910029805800996,0.005910029805800996
ally3_post_spike_total_health_loss,0.004340652910600438,0.004340652910600438
self_pre_spike_total_shield_loss,-0.004330493397701702,0.004330493397701702
ally1_post_spike_total_health_loss,0.0038561332471846875,0.0038561332471846875
ally1_post_spike_avg_health,0.0028103078202222054,0.0028103078202222054
self_pre_spike_total_ammo_mag_loss,0.0027242242020834506,0.0027242242020834506
ally1_pre_spike_max_health_loss,-0.002596833109829211,0.002596833109829211
ally4_pre_spike_avg_health,-0.0025692687298138612,0.0025692687298138612
ally3_post_spike_avg_health,0.0021167856479135903,0.0021167856479135903
ally4_post_spike_avg_health,0.0020632922611160485,0.0020632922611160485
ally4_pre_spike_max_health_loss,-0.0020060098415376746,0.0020060098415376746
ally3_pre_spike_avg_health,-0.0019728342505927767,0.0019728342505927767
ally2_pre_spike_avg_health,-0.001521489884516595,0.001521489884516595
ally2_pre_spike_total_health_loss,-0.0012194192676014753,0.0012194192676014753
self_post_spike_avg_health,0.0009223321726806337,0.0009223321726806337
self_post_spike_total_ammo_reserve_loss,0.0008190698639591926,0.0008190698639591926
self_pre_spike_max_ammo_reserve_loss,0.000752514514906668,0.000752514514906668
ally2_post_spike_max_health_loss,0.0006868045573431486,0.0006868045573431486
self_post_spike_max_ammo_reserve_loss,0.0004959256308594977,0.0004959256308594977
ally4_post_spike_max_health_loss,0.000486338775492952,0.000486338775492952
self_post_spike_max_ammo_mag_loss,0.0004361906796525996,0.0004361906796525996
ally3_pre_spike_total_health_loss,0.00041898288757636287,0.00041898288757636287
self_pre_spike_avg_loadout_value,0.0004072794737131325,0.0004072794737131325
all_opponent_dead,0.00034399864762951846,0.00034399864762951846
all_ally_dead,-0.00034041524398715605,0.00034041524398715605
self_post_spike_total_credits_loss,-0.00025711774750375937,0.00025711774750375937
self_pre_spike_deaths,-0.0002267744648228029,0.0002267744648228029
self_post_spike_avg_loadout_value,-0.0002190861902080258,0.0002190861902080258
self_pre_spike_avg_ammo_reserve,-0.00021905511658288588,0.00021905511658288588
opponent3_pre_spike_deaths,0.00021015637960677356,0.00021015637960677356
opponent2_pre_spike_deaths,0.00020804197599986286,0.00020804197599986286
opponent1_pre_spike_deaths,0.00020642131770927052,0.00020642131770927052
self_post_spike_avg_credits,0.00020437556819282316,0.00020437556819282316
ally2_pre_spike_deaths,-0.00020416917839680474,0.00020416917839680474
ally4_pre_spike_deaths,-0.00020401039598893185,0.00020401039598893185
ally3_pre_spike_elims,0.00020161805442124513,0.00020161805442124513
ally3_pre_spike_deaths,-0.00020141116561808153,0.00020141116561808153
ally2_pre_spike_elims,0.00020068824846073614,0.00020068824846073614
opponent4_pre_spike_deaths,0.00019878574634605038,0.00019878574634605038
ally1_pre_spike_deaths,-0.00019872667831658553,0.00019872667831658553
ally1_pre_spike_elims,0.00019711202964918474,0.00019711202964918474
ally4_pre_spike_elims,0.00019649095163666805,0.00019649095163666805
opponent0_pre_spike_deaths,0.00019491940266274288,0.00019491940266274288
opponent1_pre_spike_elims,-0.0001922878865428103,0.0001922878865428103
opponent3_pre_spike_headshots,-0.0001439365089024652,0.0001439365089024652
ally3_pre_spike_headshots,0.00012967803885041097,0.00012967803885041097
ally2_pre_spike_headshots,0.00012599215870142593,0.00012599215870142593
ally4_pre_spike_headshots,0.00012007677005863694,0.00012007677005863694
opponent1_pre_spike_headshots,-0.00011780427799560779,0.00011780427799560779
self_post_spike_avg_shield,0.00010849648773159112,0.00010849648773159112
self_pre_spike_assists,9.381382875045045e-05,9.381382875045045e-05
self_post_spike_deaths,-8.843748830302389e-05,8.843748830302389e-05
opponent4_pre_spike_assists,-8.572105685633334e-05,8.572105685633334e-05
opponent1_post_spike_elims,-7.994663195566747e-05,7.994663195566747e-05
self_longest_inv_state_melee,-7.812277589818477e-05,7.812277589818477e-05
opponent3_post_spike_elims,-7.77923741570262e-05,7.77923741570262e-05
opponent2_post_spike_elims,-7.674241322404269e-05,7.674241322404269e-05
opponent0_post_spike_elims,-7.655010506707981e-05,7.655010506707981e-05
ally2_post_spike_deaths,-7.611152977897186e-05,7.611152977897186e-05
opponent3_pre_spike_assists,-7.581972271270819e-05,7.581972271270819e-05
ally4_post_spike_deaths,-7.542957193428488e-05,7.542957193428488e-05
ally2_pre_spike_assists,7.431755132605671e-05,7.431755132605671e-05
self_pre_spike_longest_inv_state_melee,-7.30527215956642e-05,7.30527215956642e-05
ally1_post_spike_deaths,-7.261688713247075e-05,7.261688713247075e-05
self_post_spike_longest_inv_state_none,-7.095649949723265e-05,7.095649949723265e-05
ally3_post_spike_deaths,-7.027177974180738e-05,7.027177974180738e-05
ally1_pre_spike_assists,7.024802784636926e-05,7.024802784636926e-05
opponent0_post_spike_deaths,6.49179731605297e-05,6.49179731605297e-05
ally3_post_spike_elims,6.319178696335986e-05,6.319178696335986e-05
ally4_post_spike_elims,6.315203586752414e-05,6.315203586752414e-05
self_pre_spike_total_ability_usage_3,6.309396906719914e-05,6.309396906719914e-05
self_pre_spike_total_credits_loss,6.242592163178345e-05,6.242592163178345e-05
ally3_pre_spike_assists,6.183532592727614e-05,6.183532592727614e-05
self_post_spike_elims,6.111185622743809e-05,6.111185622743809e-05
opponent1_post_spike_deaths,5.880803421622541e-05,5.880803421622541e-05
self_longest_inv_state_primary,5.864347132493099e-05,5.864347132493099e-05
opponent4_post_spike_deaths,5.5482306666232645e-05,5.5482306666232645e-05
opponent3_post_spike_deaths,5.512475873961689e-05,5.512475873961689e-05
self_pre_spike_longest_inv_state_primary,5.345278945392669e-05,5.345278945392669e-05
opponent2_post_spike_deaths,5.1615348120073756e-05,5.1615348120073756e-05
opponent3_post_spike_headshots,-5.1410559074281144e-05,5.1410559074281144e-05
self_pre_spike_avg_credits,-5.0095210907476265e-05,5.0095210907476265e-05
