,importance
user_id,0.10913292461324652
self_pre_spike_total_ability_usage_3,0.08143161322120565
pre_spike_information_used,0.06695606672304133
pre_spike_damage_for_self_used,0.060533953589459163
pre_spike_crowd_control_vision_used,0.04961458316276058
pre_spike_damage_for_team_used,0.03172291146035305
pre_spike_shield_used,0.028227662504068517
self_pre_spike_total_ability_usage_1,0.023795308739751223
ally2_character_killjoy,0.022779482397761647
pre_spike_crowd_control_mobility_used,0.02207363059751193
pre_spike_crowd_control_general_used,0.020619009885599712
opponent6_character_jett,0.01862002612811628
opponent8_character_raze,0.017376152521623903
self_pre_spike_total_ability_usage_2,0.01732240326187034
self_pre_spike_map_covered,0.01645849301757503
pre_spike_healing_used,0.014476640390032457
ally3_character_skye,0.012524630737437047
opponent8_character_cypher,0.01058859294778475
ally3_character_killjoy,0.010326296666824148
ally3_pre_spike_avg_health,0.010163645082855536
opponent5_character_omen,0.010100258536391151
map_Pearl,0.009983536079908806
ally4_character_cypher,0.008277678505513773
opponent7_character_killjoy,0.008244217423725138
ally4_character_raze,0.008201490218213644
ally1_character_killjoy,0.00795128320307291
ally2_character_skye,0.007890433818431426
self_pre_spike_avg_ammo_reserve,0.007808006183211034
ally4_character_chamber,0.007225935683935125
ally3_character_jett,0.0070457017756087766
ally1_character_omen,0.007035622551977942
ally4_character_omen,0.006875312545249836
ally1_pre_spike_total_health_loss,0.0068573599081183725
opponent6_character_raze,0.006659066562519455
map_Bind,0.006379134453891948
ally2_character_cypher,0.006350268112152613
ally4_character_skye,0.006192992346047652
ally4_character_killjoy,0.006005248757968748
opponent5_character_reyna,0.005715148050870937
self_pre_spike_movement_metric,0.005566859297954577
ally2_character_astra,0.005467438240629174
ally3_character_brimstone,0.00543463640075991
opponent5_character_jett,0.005399002190428927
ally4_character_sova,0.005281785794124757
ally1_character_cypher,0.0051185656360582775
ally1_pre_spike_avg_health,0.004580002398501888
opponent6_character_reyna,0.004236640389089504
ally3_character_astra,0.004074156975848274
ally2_character_brimstone,0.004040310928834602
opponent5_character_chamber,0.0038865098718986824
opponent7_character_reyna,0.0036320115052731246
map_Haven,0.0035323439955554947
opponent9_character_chamber,0.0035089333346512972
ally1_character_reyna,0.0033960342331228327
ally4_character_breach,0.0031326073556230956
opponent5_character_astra,0.0031052504376556356
ally1_character_astra,0.003101913141830521
opponent6_character_brimstone,0.0030311594857778926
map_Fracture,0.003011004521688581
opponent7_character_viper,0.002755154312322841
ally3_character_omen,0.00269998771895714
opponent7_character_omen,0.0025993085269388587
ally3_character_phoenix,0.0025506985939668008
opponent9_character_gekko,0.0024995998027638523
opponent7_character_skye,0.002462643253111159
ally2_pre_spike_avg_health,0.002420424713093844
opponent9_character_kay/o,0.0023331536486402822
map_Ascent,0.0022956939029282917
ally3_character_chamber,0.0022917051219001976
opponent6_character_sova,0.0022287334863631053
ally4_pre_spike_avg_health,0.0021400609022305104
ally1_pre_spike_max_health_loss,0.0020483521371129692
post_spike_crowd_control_vision_used,0.0020478884185441493
ally2_character_omen,0.0020094260987234885
ally1_character_brimstone,0.0020016469797577703
ally3_character_fade,0.001966187531407888
opponent6_character_kay/o,0.0019120645234447866
opponent7_character_kay/o,0.0019104304525823547
self_pre_spike_avg_credits,0.0019064418908700156
opponent8_character_brimstone,0.0018754166763562535
round_info_round_length,0.0018012918882373923
