,importance
self_pre_spike_total_ability_usage_3,0.10503614895710671
pre_spike_information_used,0.10042461148492245
pre_spike_damage_for_self_used,0.07241439102127122
self_pre_spike_total_ability_usage_1,0.06621886948176717
pre_spike_crowd_control_vision_used,0.06124320682331276
pre_spike_shield_used,0.04735179217110947
pre_spike_damage_for_team_used,0.045136745364399704
pre_spike_crowd_control_mobility_used,0.03409119894096017
ally1_pre_spike_avg_health,0.033603899351380646
pre_spike_crowd_control_general_used,0.02745621174533876
self_pre_spike_total_ability_usage_2,0.0262312664059472
self_pre_spike_map_covered,0.02389487511043902
pre_spike_healing_used,0.023156750118795092
map_Pearl,0.02181648212301019
ally3_pre_spike_avg_health,0.017360431756040316
self_pre_spike_avg_ammo_reserve,0.016608830058298635
map_Bind,0.015792331734720624
map_Fracture,0.013073441633814522
map_Lotus,0.012167165309781179
self_pre_spike_max_loadout_value_loss,0.01164289305912026
ally2_pre_spike_avg_health,0.011131168824846228
self_pre_spike_movement_metric,0.010599849639893908
self_pre_spike_total_loadout_value_loss,0.00951418122954768
ally4_pre_spike_avg_health,0.009132799086373246
map_Ascent,0.008768874591690264
self_pre_spike_longest_inv_state_melee,0.008501179093425931
ally2_pre_spike_total_health_loss,0.007743710317222716
ally1_pre_spike_max_health_loss,0.007104521551625964
self_pre_spike_total_ability_usage_4,0.007020430518820686
ally3_pre_spike_total_health_loss,0.006375351882155815
self_longest_inv_state_melee,0.006042463961416866
round_info_round_length,0.005779087930150845
ally4_pre_spike_total_health_loss,0.005128076493040547
self_pre_spike_avg_ammo_mag,0.005060440088275388
map_Split,0.004575323782797482
self_pre_spike_avg_credits,0.0045044186901144504
ally3_pre_spike_max_health_loss,0.004375655264103495
round_info_round_start,0.0041902528797157544
post_spike_crowd_control_vision_used,0.004124033636253866
self_pre_spike_total_credits_loss,0.003787920881673312
ally2_pre_spike_max_health_loss,0.0035025838468213666
self_pre_spike_total_ammo_reserve_loss,0.0030296581616451115
post_spike_damage_for_team_used,0.0028564965479818244
opponent2_pre_spike_assists,0.002800133109063607
ally1_pre_spike_total_health_loss,0.002787844347253655
self_total_firing_time,0.002358687806736618
self_pre_spike_assists,0.0022992871845071046
self_pre_spike_max_health_loss,0.0022521899558512596
self_pre_spike_total_health_loss,0.0021770517311008133
self_pre_spike_avg_loadout_value,0.002031752645307964
ally2_pre_spike_elims,0.0019695264610858874
round_info_ally_side_unknown,0.00188151342920148
ally2_post_spike_avg_health,0.0018569505797204496
self_pre_spike_avg_health,0.0016976110046741794
ally3_post_spike_max_health_loss,0.0016112458341376622
self_post_spike_total_firing_time,0.0014991290168642878
map_Icebox,0.0014366994465347003
self_pre_spike_max_ammo_mag_loss,0.0014157225734758604
map_Haven,0.0013798541482125215
map_Breeze,0.001277473941651169
ally3_post_spike_avg_health,0.0012598767670115244
opponent0_pre_spike_first_bloods,0.0012551193301469695
self_post_spike_max_health_loss,0.0012163089445280037
self_pre_spike_total_ammo_mag_loss,0.0011988173186020742
all_ally_dead,0.0011950051896496248
round_info_round_end,0.0011796580411906517
self_pre_spike_total_firing_time,0.0011382553728947063
self_post_spike_avg_credits,0.00113106349995854
ally1_pre_spike_elims,0.0010651832999206703
self_pre_spike_elims,0.0010045570160776003
ally4_pre_spike_elims,0.0009576699095202217
self_pre_spike_longest_gun_primary_vandal,0.0008862069582968609
opponent4_pre_spike_elims,0.0008701511336944496
ally1_pre_spike_deaths,0.0008693460159683165
opponent4_pre_spike_ultimate_usage,0.000866935199675966
post_spike_crowd_control_general_used,0.000814048953094205
self_pre_spike_max_credits_loss,0.0008091710263802949
ally4_pre_spike_max_health_loss,0.0008055470612023149
ally4_post_spike_avg_health,0.0007328325473196535
self_post_spike_avg_health,0.0006824428429205175
self_post_spike_avg_ammo_mag,0.0006495450996067282
ally2_pre_spike_headshots,0.0006313644479637917
ally3_post_spike_elims,0.0005939406390624226
self_post_spike_avg_loadout_value,0.0005757480712267967
self_post_spike_total_ability_usage_3,0.0005756201975679733
self_pre_spike_max_shield_loss,0.0005640137564445941
self_pre_spike_max_ammo_reserve_loss,0.0005438930493073242
spike_time,0.00054358311982921
opponent0_pre_spike_deaths,0.0005354301802535118
opponent0_pre_spike_headshots,0.0005337045750920529
self_longest_gun_secondary_classic,0.0005076120578033496
opponent4_pre_spike_assists,0.0005031188562392264
opponent3_pre_spike_elims,0.0004950280217086104
ally4_pre_spike_deaths,0.00048166921235831545
all_opponent_dead,0.00046494155984768147
self_pre_spike_total_shield_loss,0.00043263350136455553
self_pre_spike_longest_gun_secondary_frenzy,0.00042799384506417347
map_unknown,0.00042665503271150767
self_post_spike_max_ammo_reserve_loss,0.00042626021739758304
ally2_pre_spike_first_bloods,0.00042024697631097774
self_post_spike_total_ability_usage_1,0.00041795510789841147
ally1_post_spike_max_health_loss,0.0004172646074418807
ally2_post_spike_max_health_loss,0.0004010940290570279
opponent3_post_spike_first_bloods,0.0004008685586679013
ally3_pre_spike_elims,0.0003966687631186126
self_post_spike_total_health_loss,0.0003937424309217706
opponent2_post_spike_deaths,0.00039270165353581403
self_pre_spike_headshots,0.0003924187406566275
opponent1_pre_spike_assists,0.00039071790802406957
opponent4_pre_spike_headshots,0.0003892094977946315
self_post_spike_total_ammo_reserve_loss,0.0003867520440406473
ally4_post_spike_total_health_loss,0.0003589462059214019
self_pre_spike_first_bloods,0.0003505581566300132
self_longest_inv_state_secondary,0.00034989808323647806
opponent0_pre_spike_ultimate_usage,0.00033519943816265796
ally4_ultimate_usage,0.000321604708986792
opponent2_pre_spike_elims,0.00029839274275967275
opponent1_post_spike_deaths,0.00029750157233895947
self_post_spike_deaths,0.00029750157233895947
post_spike_crowd_control_mobility_used,0.0002936449947310384
ally4_post_spike_max_health_loss,0.00029306680152616253
post_spike_shield_used,0.0002865303531938549
self_post_spike_total_ability_usage_2,0.0002819494068101755
self_post_spike_map_covered,0.00028097370720901727
self_post_spike_assists,0.00028053826363045833
ally3_pre_spike_headshots,0.0002779457578974174
self_post_spike_max_ammo_mag_loss,0.00027625031938961807
self_post_spike_longest_inv_state_none,0.0002737106857311081
opponent1_post_spike_elims,0.0002724618566670969
ally2_ultimate_usage,0.0002721947341435504
ally3_post_spike_headshots,0.0002670396888554486
ally4_pre_spike_first_bloods,0.00026703931027765627
opponent4_pre_spike_deaths,0.0002526316805898105
opponent3_pre_spike_deaths,0.00024437629156414526
opponent0_pre_spike_assists,0.00023579071987236418
ally2_pre_spike_ultimate_usage,0.0002343951782064529
opponent0_pre_spike_elims,0.00023161107258296
self_post_spike_avg_ammo_reserve,0.0002262251539660838
opponent2_post_spike_headshots,0.00022312617925421963
ally1_pre_spike_headshots,0.0002206318218856165
self_ultimate_usage,0.00021115416018386554
self_post_spike_max_shield_loss,0.00021073028040676292
ally3_post_spike_total_health_loss,0.00019761772616071845
opponent4_post_spike_first_bloods,0.00019013401770637405
ally2_pre_spike_assists,0.0001890652591778848
round_info_ally_side_attacker,0.00018593848271184968
ally1_post_spike_total_health_loss,0.0001836131206652828
ally1_pre_spike_assists,0.00018255778302617964
self_pre_spike_deaths,0.0001700008984794054
opponent1_pre_spike_elims,0.0001595642298449208
opponent2_pre_spike_headshots,0.00015513335536327622
opponent4_post_spike_deaths,0.00014819366712015515
