feature,importance
self_pre_spike_total_ability_usage_3,0.11793070675455364
pre_spike_information_used,0.10882476819712401
pre_spike_damage_for_self_used,0.07879679348356662
self_pre_spike_total_ability_usage_1,0.0733969845819977
pre_spike_crowd_control_vision_used,0.06811062161769067
pre_spike_shield_used,0.05565653121651826
pre_spike_damage_for_team_used,0.04328348937400654
pre_spike_crowd_control_mobility_used,0.03978952113607501
self_pre_spike_total_ability_usage_2,0.03617835193917487
pre_spike_healing_used,0.030047390973284675
self_pre_spike_map_covered,0.029461361280699136
pre_spike_crowd_control_general_used,0.028862215988680138
ally1_pre_spike_total_health_loss,0.021342729444774878
ally3_pre_spike_avg_health,0.020863498232882208
self_pre_spike_avg_ammo_reserve,0.019674341205390168
self_pre_spike_movement_metric,0.013212286257612298
self_pre_spike_total_loadout_value_loss,0.01189121807315642
self_pre_spike_total_ability_usage_4,0.010827979729116912
