,importance
self_pre_spike_total_ability_usage_3,0.08567188580590625
pre_spike_information_used,0.07186504042188395
pre_spike_damage_for_self_used,0.0627606069213998
pre_spike_crowd_control_vision_used,0.052953592286810555
self_pre_spike_total_ability_usage_1,0.04155741290154833
pre_spike_shield_used,0.04054615642613227
pre_spike_damage_for_team_used,0.03524908383761918
pre_spike_crowd_control_general_used,0.023149207137497824
pre_spike_crowd_control_mobility_used,0.02309451725061979
ally2_character_killjoy,0.021884859563280807
self_pre_spike_total_ability_usage_2,0.01793597110499088
self_pre_spike_map_covered,0.017656919047466118
ally1_pre_spike_total_health_loss,0.0163318391073393
pre_spike_healing_used,0.01483720263818703
map_Pearl,0.014450950938648306
opponent7_character_killjoy,0.014417562505240246
map_Bind,0.014362167789729773
ally4_character_reyna,0.01399350825386684
ally3_character_skye,0.012736180379580174
ally4_pre_spike_avg_health,0.011279023511655174
ally3_pre_spike_avg_health,0.011156731875702097
opponent6_character_jett,0.010917647276705342
self_pre_spike_avg_ammo_reserve,0.010607670229128483
ally2_character_skye,0.010320903377001946
ally3_character_killjoy,0.00966090276753486
map_Fracture,0.009207724035739821
map_Split,0.009161070730103861
ally4_character_killjoy,0.009083194473167744
opponent6_character_raze,0.008969098637823907
ally1_character_killjoy,0.008041272423840186
ally4_character_cypher,0.007542019973196682
ally4_character_chamber,0.007384080269502063
ally4_character_omen,0.007138282790463696
opponent8_character_raze,0.006366984432006116
ally1_character_cypher,0.006284131433816256
self_pre_spike_movement_metric,0.006241030906627106
opponent6_character_viper,0.006047700326195999
opponent5_character_jett,0.006009744706929809
ally2_character_astra,0.0060059703027148595
ally1_character_omen,0.005880886255044709
ally2_character_jett,0.005479929196468002
ally3_character_astra,0.005259600413837151
ally3_character_sova,0.004980938615964062
self_pre_spike_total_ability_usage_4,0.004824677870704269
ally2_character_omen,0.0047805385648489376
opponent6_character_brimstone,0.004455918922259839
ally1_pre_spike_avg_health,0.004446731677763503
map_Lotus,0.004372647271041862
