feature,importance
all_opponent_dead,0.5622840678490049
all_ally_dead,0.2273113477972845
self_post_spike_total_health_loss,0.07888739556467367
self_pre_spike_total_health_loss,0.05253737646689775
ally2_pre_spike_deaths,0.02579466734878275
self_post_spike_avg_credits,0.02201917412002124
ally1_pre_spike_deaths,0.011124641299069789
ally4_post_spike_max_health_loss,0.0037713620579577227
self_post_spike_map_covered,0.0026900558208574426
ally2_post_spike_assists,0.002209893101311711
self_pre_spike_headshots,0.0017404518961157843
ally2_post_spike_elims,0.0016728803101759813
ally4_post_spike_avg_health,0.0014053368746943348
ally3_post_spike_avg_health,0.0011603012640771895
opponent0_post_spike_elims,0.0010885228448278223
ally4_pre_spike_total_health_loss,0.0010772724598542744
ally3_pre_spike_avg_health,0.0007096746058738763
self_pre_spike_total_shield_loss,0.0006163000584282593
ally4_pre_spike_max_health_loss,0.0006153740632695094
self_pre_spike_assists,0.0005510815716306482
ally1_pre_spike_avg_health,0.0004952609439682417
ally2_post_spike_max_health_loss,0.0002375616812227008
