feature,importance
all_ally_dead,0.49676728007159515
all_opponent_dead,0.22231105975151175
self_pre_spike_total_health_loss,0.11095798321942191
self_post_spike_avg_credits,0.06074763365712762
self_post_spike_deaths,0.046578269731772454
ally4_pre_spike_deaths,0.009963608972048246
ally1_post_spike_total_health_loss,0.009660135432341862
ally4_post_spike_total_health_loss,0.007844282031773467
opponent1_post_spike_first_bloods,0.007705316271720352
ally1_pre_spike_elims,0.00674041611910913
ally3_post_spike_deaths,0.006174695106967516
self_pre_spike_headshots,0.0031599007867357033
user_id,0.002311614953270456
ally1_pre_spike_total_health_loss,0.002068224104462047
opponent1_ultimate_usage,0.0018453999154695406
ally3_pre_spike_avg_health,0.0009588967303739747
ally1_post_spike_elims,0.0009396665375589355
self_pre_spike_movement_metric,0.0008406030088691887
self_post_spike_max_ammo_reserve_loss,0.0008040981522628086
ally4_post_spike_deaths,0.0007763154516362453
opponent0_pre_spike_first_bloods,0.0006582791841359976
round_info_round_end,0.00018632080983572026
