feature,importance
all_opponent_dead,0.5313251546593852
all_ally_dead,0.21802057880588985
self_post_spike_total_health_loss,0.10772456083419202
self_pre_spike_total_health_loss,0.08137508163848765
ally2_pre_spike_deaths,0.023773004750970956
self_post_spike_avg_shield,0.011771360307104605
spike_time,0.0072919269090518535
ally2_post_spike_deaths,0.004013170041574487
ally2_pre_spike_avg_health,0.003803743087406726
self_longest_inv_state_melee,0.0029526883751678106
ally2_post_spike_assists,0.0027898924856679373
self_pre_spike_avg_loadout_value,0.0022700759831128414
ally1_pre_spike_total_health_loss,0.0020018028213818254
opponent1_pre_spike_elims,0.0008869593006061934
