feature,importance
all_ally_dead,0.5424268289601424
all_opponent_dead,0.22276433599465922
self_pre_spike_total_health_loss,0.0935347860128104
self_post_spike_total_health_loss,0.04721171715932877
spike_time,0.03724128313832154
opponent1_pre_spike_deaths,0.012197742290977611
ally4_post_spike_max_health_loss,0.010542252455186052
ally1_post_spike_total_health_loss,0.007398771093428022
ally2_post_spike_deaths,0.006326503928391294
self_post_spike_avg_credits,0.004334172365594341
self_post_spike_total_shield_loss,0.002563361824531637
ally4_pre_spike_avg_health,0.00218479096583692
opponent2_pre_spike_headshots,0.0018462102374419065
ally4_pre_spike_total_health_loss,0.0017627016797871714
self_pre_spike_total_ammo_mag_loss,0.0013313225594919357
self_pre_spike_avg_loadout_value,0.0012452141909295837
ally3_pre_spike_total_health_loss,0.0010148915823726193
self_pre_spike_longest_gun_primary_none,0.0008833539099842532
self_pre_spike_total_ability_usage_3,0.0007852034755415585
round_info_round_length,0.0007662888826076611
ally3_pre_spike_avg_health,0.0005151179765572997
opponent4_post_spike_deaths,0.0004838963603090747
ally4_character_kay/o,0.00047231313261683356
ally1_post_spike_elims,0.00016693982315197593
