feature,importance
all_ally_dead,0.5558661283941321
all_opponent_dead,0.2814103617309797
self_post_spike_total_health_loss,0.06440872099054867
self_pre_spike_total_health_loss,0.04763493540957712
ally3_pre_spike_deaths,0.028047249420188596
ally4_post_spike_total_health_loss,0.011280802431473358
opponent0_pre_spike_assists,0.0038790350242521223
self_post_spike_avg_ammo_mag,0.002284337415337089
opponent2_post_spike_elims,0.0018716792821606217
opponent4_post_spike_ultimate_usage,0.0012214041734913768
opponent1_post_spike_headshots,0.0011858881424789385
opponent4_pre_spike_elims,0.0004610072240330826
round_info_round_start,0.0004484503613470863
