feature,importance
all_ally_dead,0.5976543649247497
all_opponent_dead,0.2250098246834781
self_post_spike_total_health_loss,0.06528313766617957
self_pre_spike_deaths,0.06375183353134427
opponent1_pre_spike_deaths,0.018735085958407546
self_post_spike_deaths,0.007670747512733133
ally2_post_spike_elims,0.007208811202276413
self_pre_spike_max_ammo_reserve_loss,0.006280862687168184
self_pre_spike_max_ammo_mag_loss,0.0038895373923265126
opponent4_post_spike_elims,0.002407547081122421
round_info_round_end,0.00105894589084887
ally2_pre_spike_avg_health,0.0010493014693654296
