feature,importance
self_post_spike_total_health_loss,0.31582639606061536
self_pre_spike_total_health_loss,0.28875960521342725
self_post_spike_avg_credits,0.08891139935371017
ally2_pre_spike_elims,0.0477550661912334
ally3_pre_spike_elims,0.04187291851682672
ally4_pre_spike_elims,0.028845329618753142
self_post_spike_avg_health,0.02492653404779899
ally1_pre_spike_elims,0.021933599318584587
round_info_ally_side_attacker,0.01761772679865014
self_post_spike_max_health_loss,0.014430371014569673
ally1_post_spike_total_health_loss,0.011119934315616463
self_post_spike_assists,0.00994232445960613
opponent3_post_spike_headshots,0.009883189105565111
opponent1_post_spike_elims,0.00881370479226952
opponent2_pre_spike_elims,0.008662255585700721
opponent4_post_spike_elims,0.008243363174679306
ally4_post_spike_max_health_loss,0.0065081302955400785
ally2_post_spike_elims,0.0062549089924971045
ally4_post_spike_elims,0.005901501801658562
opponent2_post_spike_assists,0.00549376100049144
ally1_post_spike_avg_health,0.005077759319159247
self_post_spike_map_covered,0.004880942388225627
round_info_round_length,0.004390816147626024
ally2_post_spike_avg_health,0.003691680654662996
opponent1_pre_spike_elims,0.003523970708466822
opponent3_pre_spike_headshots,0.003404159682570084
opponent3_post_spike_assists,0.002462949613454996
self_pre_spike_avg_credits,0.0008657018280403123
