feature,importance
all_opponent_dead,0.6280400593330797
all_ally_dead,0.2538941444736536
self_post_spike_avg_credits,0.03714718395035826
self_post_spike_deaths,0.02742440874280726
round_info_ally_side_attacker,0.014867463355890339
self_post_spike_longest_inv_state_none,0.01094221911780828
opponent2_post_spike_assists,0.004798871877568956
ally1_post_spike_max_health_loss,0.00446174679437581
ally4_post_spike_max_health_loss,0.0042124018553596045
ally2_post_spike_assists,0.002468327796974457
ally2_post_spike_elims,0.0018685143494803782
ally3_character_reyna,0.0016012022906741323
ally2_post_spike_headshots,0.0012959920374819762
opponent0_post_spike_elims,0.0012158195316938289
ally4_post_spike_avg_health,0.001205967223724767
self_post_spike_total_health_loss,0.0011868985078241055
opponent2_post_spike_headshots,0.0009396836676187031
round_info_round_length,0.0009174824635377742
ally1_post_spike_elims,0.0008730893726194365
user_id,0.0005531789542340348
ally4_character_astra,8.53443032345654e-05
