feature,importance
all_opponent_dead,0.6466329098541794
all_ally_dead,0.16605410217630429
self_post_spike_total_health_loss,0.08102841907642798
self_pre_spike_avg_health,0.04821851694769533
ally2_pre_spike_deaths,0.024802251548501374
ally4_post_spike_total_health_loss,0.00914601419145723
self_post_spike_avg_credits,0.008933718120848085
ally3_pre_spike_elims,0.005158124225424687
ally4_pre_spike_deaths,0.003528040915268063
ally1_pre_spike_total_health_loss,0.002553814996320935
self_post_spike_longest_gun_secondary_shorty,0.0018790939417949156
self_pre_spike_avg_ammo_mag,0.0013899905001126952
ally1_post_spike_elims,0.0006750035056651192
