feature,coefficient,abs_coef
ally1_post_spike_deaths,-1.6703996301272244,1.6703996301272244
ally4_post_spike_deaths,-1.3721565846202386,1.3721565846202386
ally3_post_spike_deaths,-1.2383865192985941,1.2383865192985941
ally2_post_spike_deaths,-1.207032117040701,1.207032117040701
round_info_round_length,-1.1651121582417583,1.1651121582417583
opponent3_post_spike_deaths,1.1507132924721026,1.1507132924721026
all_opponent_dead,1.1307786860961744,1.1307786860961744
self_post_spike_deaths,-1.0733820756241268,1.0733820756241268
post_spike_crowd_control_vision_used,1.0404368913979456,1.0404368913979456
ally3_post_spike_total_health_loss,0.9989532836984398,0.9989532836984398
opponent1_pre_spike_deaths,0.9508902263537159,0.9508902263537159
ally1_pre_spike_deaths,-0.9486844033856277,0.9486844033856277
opponent2_pre_spike_deaths,0.9350685482106683,0.9350685482106683
opponent0_pre_spike_deaths,0.92489327480526,0.92489327480526
opponent3_pre_spike_deaths,0.9223488365584658,0.9223488365584658
self_post_spike_max_health_loss,-0.8862837203866286,0.8862837203866286
opponent4_post_spike_deaths,0.8185005839381284,0.8185005839381284
opponent4_pre_spike_deaths,0.7785656109722344,0.7785656109722344
all_ally_dead,-0.7726353504666179,0.7726353504666179
ally4_pre_spike_deaths,-0.7697123673928794,0.7697123673928794
ally3_pre_spike_deaths,-0.7653026104552757,0.7653026104552757
ally4_post_spike_elims,0.745609319446686,0.745609319446686
ally2_pre_spike_deaths,-0.7197445532708389,0.7197445532708389
self_pre_spike_deaths,-0.7171144006367114,0.7171144006367114
self_pre_spike_avg_health,0.665399395617695,0.665399395617695
opponent0_post_spike_deaths,0.61521646425929,0.61521646425929
ally1_post_spike_total_health_loss,0.6133080626961142,0.6133080626961142
opponent1_post_spike_deaths,0.5907533673762393,0.5907533673762393
spike_planted,0.5737273715808402,0.5737273715808402
opponent2_post_spike_deaths,0.5188673597874915,0.5188673597874915
self_post_spike_longest_inv_state_none,-0.5152447071233602,0.5152447071233602
ally4_post_spike_assists,0.45529333382939685,0.45529333382939685
self_post_spike_map_covered,0.454180611206949,0.454180611206949
ally1_post_spike_assists,0.427470438563904,0.427470438563904
ally3_post_spike_elims,0.398934945598771,0.398934945598771
opponent8_character_chamber,-0.39387540472629134,0.39387540472629134
self_post_spike_longest_gun_secondary_frenzy,0.393555333059561,0.393555333059561
ally4_pre_spike_avg_health,-0.3929980076550865,0.3929980076550865
self_pre_spike_total_ammo_mag_loss,-0.3913854026913129,0.3913854026913129
opponent2_pre_spike_first_bloods,0.3866979467703124,0.3866979467703124
self_character_cypher,0.36736851724413055,0.36736851724413055
ally3_post_spike_headshots,0.357605679434388,0.357605679434388
ally2_post_spike_assists,0.35519728460352806,0.35519728460352806
