feature,coefficient,abs_coef
all_ally_dead,-0.9423128847765948,0.9423128847765948
all_opponent_dead,0.8541049907042644,0.8541049907042644
ally2_pre_spike_deaths,-0.7578110094996179,0.7578110094996179
opponent1_pre_spike_deaths,0.7441504293520219,0.7441504293520219
ally3_pre_spike_deaths,-0.7151178217983704,0.7151178217983704
ally4_post_spike_deaths,-0.6663109266945371,0.6663109266945371
opponent2_pre_spike_deaths,0.6332095964198787,0.6332095964198787
ally4_pre_spike_deaths,-0.6010948587300938,0.6010948587300938
ally1_pre_spike_deaths,-0.5513542896617049,0.5513542896617049
ally3_post_spike_total_health_loss,0.49707810103672806,0.49707810103672806
opponent0_pre_spike_deaths,0.4697298243625643,0.4697298243625643
opponent3_pre_spike_deaths,0.4654142985222033,0.4654142985222033
ally1_post_spike_deaths,-0.46481083516858596,0.46481083516858596
opponent4_pre_spike_deaths,0.43772902969043914,0.43772902969043914
opponent2_post_spike_elims,-0.4306158469824178,0.4306158469824178
ally3_post_spike_elims,0.42215935504002183,0.42215935504002183
pre_spike_crowd_control_vision_used,-0.4035146981365681,0.4035146981365681
ally3_post_spike_deaths,-0.3983584918465191,0.3983584918465191
self_pre_spike_avg_health,0.3926925069576681,0.3926925069576681
self_post_spike_max_health_loss,-0.3887501315241771,0.3887501315241771
opponent3_post_spike_deaths,0.3658831873124218,0.3658831873124218
self_post_spike_total_credits_loss,0.34866760010377223,0.34866760010377223
ally2_post_spike_deaths,-0.34396899832431477,0.34396899832431477
self_post_spike_total_loadout_value_loss,0.3414733069913843,0.3414733069913843
ally4_post_spike_assists,0.31028415162774114,0.31028415162774114
ally2_post_spike_headshots,0.3072902134324363,0.3072902134324363
self_pre_spike_deaths,-0.30592487786483935,0.30592487786483935
self_post_spike_total_health_loss,-0.29886557963761207,0.29886557963761207
ally3_post_spike_max_health_loss,-0.2863223822791522,0.2863223822791522
opponent4_post_spike_deaths,0.2781430452476244,0.2781430452476244
opponent2_post_spike_deaths,0.27689957806832577,0.27689957806832577
self_pre_spike_total_ability_usage_4,-0.2696146571606915,0.2696146571606915
ally1_post_spike_elims,0.26944814412260615,0.26944814412260615
opponent1_post_spike_deaths,0.25336734032571623,0.25336734032571623
self_pre_spike_movement_metric,0.24940486431400125,0.24940486431400125
self_post_spike_elims,0.2470307178421163,0.2470307178421163
ally4_post_spike_headshots,0.23682315413757898,0.23682315413757898
self_post_spike_headshots,0.23119893962457638,0.23119893962457638
ally4_pre_spike_avg_health,-0.2289522418371386,0.2289522418371386
self_post_spike_max_ammo_mag_loss,-0.2263017691304852,0.2263017691304852
